filename,width,height,class,xmin,ymin,xmax,ymax
SY_00006.JPG,4000,3000,nonMotorized,2462,778,2532,907
SY_00006.JPG,4000,3000,nonMotorized,2507,701,2574,792
SY_00008.JPG,4000,3000,nonMotorized,880,601,950,751
SY_00008.JPG,4000,3000,nonMotorized,937,595,999,749
SY_00009.JPG,4000,3000,nonMotorized,1150,616,1390,1034
SY_00010.JPG,4000,3000,nonMotorized,2468,1410,2817,2290
SY_00030.JPG,4000,3000,dog,3762,888,4000,1275
SY_00034.JPG,4000,3000,nonMotorized,3822,1,4000,1354
SY_00036.JPG,4000,3000,nonMotorized,3896,69,4000,682
SY_00036.JPG,4000,3000,dog,3877,1001,4000,1366
SY_00044.JPG,4000,3000,nonMotorized,3517,428,3623,651
SY_00045.JPG,4000,3000,nonMotorized,3296,439,3401,625
SY_00046.JPG,4000,3000,nonMotorized,3214,473,3286,618
SY_00047.JPG,4000,3000,nonMotorized,3393,340,3468,498
SY_00048.JPG,4000,3000,nonMotorized,3732,500,3816,657
